Player Named,Player Nationality,Player Position,Player Age,90 Minutes Played,Shot-Creating Actions (SCA),Shot-Creating Actions per 90 Minutes,Passes Leading to Goal-Creating Actions (Live),Passes Leading to Goal-Creating Actions (Dead),Through Balls Leading to Goal-Creating Actions,Shots Leading to Goal-Creating Actions,Fouls Leading to Goal-Creating Actions,Defensive Actions Leading to Goal-Creating Actions,Goal-Creating Actions (GCA),Goal-Creating Actions per 90 Minutes,Passes Leading to Goal-Creating Actions (Live),Passes Leading to Goal-Creating Actions (Dead),Through Balls Leading to Goal-Creating Actions,Shots Leading to Goal-Creating Actions,Fouls Leading to Goal-Creating Actions,Defensive Actions Leading to Goal-Creating Actions,Matches Played
William Saliba,fr FRA,DF,23-040,35.0,25.0,0.71,24.0,0.0,0.0,1.0,0.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Declan Rice,eng ENG,MF,25-110,32.8,92.0,2.8,65.0,15.0,3.0,5.0,0.0,4.0,11.0,0.34,5.0,5.0,0.0,1.0,0.0,0.0,Matches
Bukayo Saka,eng ENG,FW,22-241,30.6,175.0,5.72,128.0,23.0,9.0,9.0,4.0,2.0,21.0,0.69,16.0,2.0,1.0,1.0,1.0,0.0,Matches
Martin degaard,no NOR,MF,25-138,31.4,195.0,6.22,158.0,15.0,7.0,8.0,6.0,1.0,19.0,0.61,15.0,2.0,0.0,1.0,1.0,0.0,Matches
Ben White,eng ENG,DF,26-208,30.4,72.0,2.36,65.0,4.0,0.0,1.0,0.0,2.0,5.0,0.16,4.0,0.0,0.0,1.0,0.0,0.0,Matches
Gabriel Magalhes,br BRA,DF,26-136,31.2,22.0,0.71,19.0,1.0,0.0,1.0,0.0,1.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,Matches
David Raya,es ESP,GK,28-231,29.0,4.0,0.14,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kai Havertz,de GER,"MF,FW",24-327,26.3,90.0,3.43,77.0,0.0,2.0,5.0,5.0,1.0,19.0,0.72,14.0,0.0,2.0,2.0,1.0,0.0,Matches
Gabriel Martinelli,br BRA,FW,22-320,21.0,84.0,3.99,56.0,6.0,11.0,8.0,1.0,2.0,11.0,0.52,7.0,1.0,1.0,2.0,0.0,0.0,Matches
Oleksandr Zinchenko,ua UKR,DF,27-140,18.8,63.0,3.36,60.0,1.0,1.0,1.0,0.0,0.0,6.0,0.32,5.0,1.0,0.0,0.0,0.0,0.0,Matches
Gabriel Jesus,br BRA,FW,27-030,16.1,56.0,3.47,35.0,1.0,9.0,5.0,3.0,3.0,7.0,0.43,3.0,1.0,1.0,1.0,1.0,0.0,Matches
Leandro Trossard,be BEL,"FW,MF",29-151,15.9,58.0,3.66,40.0,3.0,7.0,4.0,4.0,0.0,6.0,0.38,1.0,1.0,2.0,0.0,2.0,0.0,Matches
Jakub Kiwior,pl POL,DF,24-078,10.5,13.0,1.24,10.0,2.0,0.0,0.0,1.0,0.0,4.0,0.38,3.0,1.0,0.0,0.0,0.0,0.0,Matches
Eddie Nketiah,eng ENG,FW,24-339,12.0,28.0,2.33,17.0,0.0,3.0,5.0,3.0,0.0,8.0,0.67,3.0,0.0,1.0,1.0,3.0,0.0,Matches
Jorginho,it ITA,MF,32-135,10.2,27.0,2.64,25.0,0.0,0.0,1.0,0.0,1.0,5.0,0.49,5.0,0.0,0.0,0.0,0.0,0.0,Matches
Takehiro Tomiyasu,jp JPN,DF,25-180,9.8,13.0,1.33,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,Matches
