Position,Squad,Age,Possession,Matches Played,Starts,Min,90s,Goals,Assists,Goals + Assists,Non-Pen Goals,Penalties,Penalties Attempted,Yellows,Reds,xG,Shots,Shots on Target,Shot Accuracy Percentage,Shots per 90 Minutes,Shots on Target per 90 Minutes,Goals per Shot,Goals per Shot on Target,Distance Covered (Yards),Free Kicks Taken,Penalties,Penalties Attempted,Cmp,Att,Cmp%,TotDist,PrgDist,Live,Dead,Free Kicks Taken,Through Balls,Successful Dribbles,Crosses,Tackles Attempted (Interceptions),Corner Kicks
1,Arsenal,25.7,58.3,35,385,3150,35.0,80,57,137,71,9,9,56,2,68.4,586,191,32.6,16.74,5.46,0.12,0.37,16.0,6,9,9,17707,20893,84.8,287550,94623,19405,1407,410,96,57,619,510,244
4,Aston Villa,27.7,53.8,35,385,3150,35.0,69,52,121,65,4,4,88,2,59.3,482,174,36.1,13.77,4.97,0.13,0.37,16.1,15,4,4,14947,17949,83.3,260959,88864,16232,1674,578,74,88,612,563,219
13,Bournemouth,26.5,44.4,35,385,3150,35.0,51,38,89,49,2,3,71,3,52.6,497,164,33.0,14.2,4.69,0.1,0.3,16.6,17,2,3,11007,14754,74.6,204514,77161,13032,1668,382,45,81,665,718,226
15,Brentford,27.4,44.5,35,385,3150,35.0,50,34,84,47,3,3,82,2,55.4,442,148,33.5,12.63,4.23,0.11,0.32,15.6,16,3,3,11377,15320,74.3,205483,80602,13645,1608,430,64,105,644,628,166
10,Brighton,26.7,60.8,34,374,3060,34.0,47,35,82,42,5,5,81,3,50.0,497,183,36.8,14.62,5.38,0.08,0.23,16.8,11,5,5,19905,22814,87.2,311391,103618,21275,1461,464,52,70,593,489,184
19,Burnley,25.2,47.0,35,385,3150,35.0,37,27,64,34,3,3,69,7,37.7,386,126,32.6,11.03,3.6,0.09,0.27,17.6,12,3,3,12713,16450,77.3,224641,76298,14801,1576,420,47,70,506,623,169
9,Chelsea,25.0,58.7,34,374,3060,34.0,63,41,104,52,11,12,101,3,65.3,462,161,34.8,13.59,4.74,0.11,0.32,17.3,16,11,12,17650,20636,85.5,289293,95846,19061,1494,439,102,90,500,553,174
14,Crystal Palace,27.6,42.1,35,385,3150,35.0,44,34,78,40,4,4,67,1,41.8,406,140,34.5,11.6,4.0,0.1,0.29,17.4,20,4,4,11743,15311,76.7,205979,77906,13629,1620,450,47,91,548,673,167
16,Everton,27.8,40.4,35,385,3150,35.0,37,16,53,36,1,2,75,1,49.6,475,142,29.9,13.57,4.06,0.08,0.25,16.6,12,1,2,10322,14181,72.8,189687,80684,12517,1582,378,41,69,715,710,170
12,Fulham,29.2,50.9,35,385,3150,35.0,50,36,86,48,2,2,76,3,48.3,467,163,34.9,13.34,4.66,0.1,0.29,16.9,12,2,2,15176,18814,80.7,270443,92999,17120,1644,433,58,108,684,645,201
3,Liverpool,27.1,61.7,35,385,3150,35.0,72,55,127,66,6,9,66,5,78.3,706,231,32.7,20.17,6.6,0.09,0.29,17.4,18,6,9,18860,22614,83.4,321262,109345,20874,1656,401,98,138,758,707,265
18,Luton Town,27.5,42.2,35,385,3150,35.0,45,31,76,41,4,4,62,0,39.3,391,123,31.5,11.17,3.51,0.1,0.33,16.2,9,4,4,10142,13919,72.9,183912,74529,12125,1735,458,21,106,772,650,186
2,Manchester City,27.3,65.9,34,374,3060,34.0,80,59,139,75,5,6,50,2,69.3,615,230,37.4,18.09,6.76,0.12,0.33,17.1,23,5,6,22063,24926,88.5,354723,100765,23458,1433,410,80,114,646,549,258
7,Manchester Utd,26.9,50.6,34,374,3060,34.0,52,33,85,46,6,7,76,1,52.8,494,166,33.6,14.53,4.88,0.09,0.28,17.3,14,6,7,14070,17471,80.5,233060,81619,15876,1509,334,67,90,551,587,204
6,Newcastle Utd,28.0,52.1,34,374,3060,34.0,72,47,119,64,8,8,67,1,64.9,469,165,35.2,13.79,4.85,0.14,0.39,15.6,6,8,8,14438,17774,81.2,246232,86060,16156,1565,461,80,118,562,604,164
17,Nott'ham Forest,26.4,41.0,35,385,3150,35.0,42,36,78,41,1,1,79,3,45.3,403,129,32.0,11.51,3.69,0.1,0.32,17.2,7,1,1,11084,14611,75.9,195917,76787,13035,1505,380,51,75,554,611,137
20,Sheffield Utd,26.5,35.5,35,385,3150,35.0,30,18,48,26,4,4,95,4,34.5,325,111,34.2,9.29,3.17,0.08,0.23,17.2,7,4,4,8618,12306,70.0,153313,64735,10696,1552,357,24,46,398,611,128
5,Tottenham,26.0,61.2,34,374,3060,34.0,62,51,113,60,2,2,82,4,57.9,513,177,34.5,15.09,5.21,0.12,0.34,16.2,9,2,2,17990,21116,85.2,283825,97218,19345,1695,561,87,52,627,622,200
8,West Ham,29.1,41.3,35,385,3150,35.0,54,39,93,50,4,5,77,3,47.9,405,134,33.1,11.57,3.83,0.12,0.37,16.2,14,4,5,11611,15180,76.5,201999,79211,13508,1603,399,56,136,620,664,150
11,Wolves,27.4,49.1,35,385,3150,35.0,45,36,81,41,4,4,94,3,44.3,405,142,35.1,11.57,4.06,0.1,0.29,16.8,11,4,4,14348,17760,80.8,237076,78632,16143,1546,401,47,118,536,632,146
